Disp(mm)  Force(kN)
0,0
0.2,0.189
0.4,0.365
0.6,0.514
0.8,0.63
1,0.726
1.2,0.812
1.4,0.892
1.6,0.966
1.8,1.034
2,1.097
2.2,1.154
2.4,1.207
2.6,1.251
2.8,1.288
3,1.322
3.2,1.354
3.4,1.383
3.6,1.411
3.8,1.438
4,1.463
4.2,1.487
4.4,1.51
4.6,1.532
4.8,1.553
5,1.573
5.2,1.593
5.4,1.612
5.6,1.63
5.8,1.648
6,1.665
6.2,1.682
6.4,1.699
6.6,1.715
6.8,1.731
7,1.746
7.2,1.762
7.4,1.776
7.6,1.791
7.8,1.806
8,1.82
7.8,1.625
7.6,1.429
7.4,1.234
7.2,1.04
7,0.853
6.8,0.684
6.6,0.528
6.4,0.384
6.2,0.245
6,0.124
5.8,0.034
5.6,-0.025
5.4,-0.059
5.2,-0.074
5,-0.082
4.8,-0.089
4.6,-0.098
4.4,-0.106
4.2,-0.116
4,-0.13
3.8,-0.146
3.6,-0.162
3.4,-0.181
3.2,-0.202
3,-0.222
2.8,-0.242
2.6,-0.265
2.4,-0.289
2.2,-0.31
2,-0.327
1.8,-0.34
1.6,-0.356
1.4,-0.374
1.2,-0.39
1,-0.413
0.8,-0.439
0.6,-0.473
0.4,-0.505
0.2,-0.541
0,-0.604
-0.2,-0.669
-0.4,-0.745
-0.6,-0.814
-0.8,-0.878
-1,-0.938
-1.2,-0.993
-1.4,-1.044
-1.6,-1.092
-1.8,-1.136
-2,-1.177
-2.2,-1.216
-2.4,-1.252
-2.6,-1.286
-2.8,-1.318
-3,-1.349
-3.2,-1.377
-3.4,-1.405
-3.6,-1.43
-3.8,-1.455
-4,-1.479
-3.8,-1.285
-3.6,-1.09
-3.4,-0.895
-3.2,-0.702
-3,-0.519
-2.8,-0.353
-2.6,-0.198
-2.4,-0.052
-2.2,0.048
-2,0.097
-1.8,0.117
-1.6,0.122
-1.4,0.129
-1.2,0.134
-1,0.139
-0.8,0.147
-0.6,0.153
-0.4,0.158
-0.2,0.163
0,0.168
0.2,0.175
0.4,0.192
0.6,0.209
0.8,0.226
1,0.247
1.2,0.267
1.4,0.29
1.6,0.313
1.8,0.334
2,0.355
2.2,0.375
2.4,0.4
2.6,0.425
2.8,0.453
3,0.48
3.2,0.502
3.4,0.524
3.6,0.546
3.8,0.566
4,0.593
4.2,0.62
4.4,0.647
4.6,0.673
4.8,0.698
5,0.724
5.2,0.758
5.4,0.788
5.6,0.841
5.8,0.899
6,0.958
6.2,1.016
6.4,1.093
6.6,1.171
6.8,1.249
7,1.325
7.2,1.399
7.4,1.473
7.6,1.547
7.8,1.619
8,1.69
7.8,1.496
7.6,1.303
7.4,1.11
7.2,0.919
7,0.736
6.8,0.568
6.6,0.411
6.4,0.272
6.2,0.163
6,0.079
5.8,0.019
5.6,-0.024
5.4,-0.062
5.2,-0.08
5,-0.087
4.8,-0.095
4.6,-0.102
4.4,-0.109
4.2,-0.115
4,-0.12
3.8,-0.125
3.6,-0.129
3.4,-0.136
3.2,-0.148
3,-0.163
2.8,-0.177
2.6,-0.19
2.4,-0.21
2.2,-0.229
2,-0.247
1.8,-0.268
1.6,-0.288
1.4,-0.307
1.2,-0.324
1,-0.338
0.8,-0.351
0.6,-0.364
0.4,-0.377
0.2,-0.388
0,-0.399
-0.2,-0.41
-0.4,-0.43
-0.6,-0.449
-0.8,-0.477
-1,-0.503
-1.2,-0.529
-1.4,-0.555
-1.6,-0.579
-1.8,-0.61
-2,-0.64
-2.2,-0.706
-2.4,-0.772
-2.6,-0.85
-2.8,-0.939
-3,-1.028
-3.2,-1.117
-3.4,-1.206
-3.6,-1.295
-3.8,-1.382
-4,-1.466
-3.8,-1.272
-3.6,-1.079
-3.4,-0.886
-3.2,-0.695
-3,-0.512
-2.8,-0.343
-2.6,-0.188
-2.4,-0.051
-2.2,0.044
-2,0.096
-1.8,0.115
-1.6,0.119
-1.4,0.123
-1.2,0.128
-1,0.132
-0.8,0.136
-0.6,0.142
-0.4,0.149
-0.2,0.154
0,0.16
0.2,0.164
0.4,0.174
0.6,0.191
0.8,0.208
1,0.225
1.2,0.246
1.4,0.266
1.6,0.29
1.8,0.313
2,0.335
2.2,0.358
2.4,0.379
2.6,0.406
2.8,0.433
3,0.455
3.2,0.48
3.4,0.502
3.6,0.524
3.8,0.545
4,0.565
4.2,0.585
4.4,0.612
4.6,0.638
4.8,0.664
5,0.689
5.2,0.714
5.4,0.739
5.6,0.771
5.8,0.801
6,0.852
6.2,0.91
6.4,0.968
6.6,1.025
6.8,1.102
7,1.179
7.2,1.255
7.4,1.332
7.6,1.406
7.8,1.479
8,1.551
7.8,1.357
7.6,1.163
7.4,0.97
7.2,0.779
7,0.597
6.8,0.434
6.6,0.305
6.4,0.194
6.2,0.124
6,0.067
5.8,0.023
5.6,-0.02
5.4,-0.06
5.2,-0.082
5,-0.089
4.8,-0.095
4.6,-0.103
4.4,-0.109
4.2,-0.113
4,-0.117
3.8,-0.122
3.6,-0.126
3.4,-0.13
3.2,-0.137
3,-0.151
2.8,-0.165
2.6,-0.178
2.4,-0.192
2.2,-0.212
2,-0.232
1.8,-0.254
1.6,-0.274
1.4,-0.295
1.2,-0.314
1,-0.331
0.8,-0.347
0.6,-0.36
0.4,-0.373
0.2,-0.386
0,-0.397
-0.2,-0.408
-0.4,-0.429
-0.6,-0.448
-0.8,-0.476
-1,-0.503
-1.2,-0.529
-1.4,-0.555
-1.6,-0.58
-1.8,-0.612
-2,-0.642
-2.2,-0.708
-2.4,-0.774
-2.6,-0.84
-2.8,-0.929
-3,-1.018
-3.2,-1.107
-3.4,-1.196
-3.6,-1.285
-3.8,-1.371
-4,-1.452
-3.8,-1.258
-3.6,-1.065
-3.4,-0.872
-3.2,-0.681
-3,-0.498
-2.8,-0.329
-2.6,-0.178
-2.4,-0.049
-2.2,0.046
-2,0.097
-1.8,0.115
-1.6,0.119
-1.4,0.123
-1.2,0.128
-1,0.132
-0.8,0.136
-0.6,0.139
-0.4,0.146
-0.2,0.152
0,0.157
0.2,0.162
0.4,0.17
0.6,0.186
0.8,0.203
1,0.22
1.2,0.24
1.4,0.261
1.6,0.284
1.8,0.308
2,0.33
1.8,0.269
1.6,0.207
1.4,0.148
1.2,0.09
1,0.036
0.8,-0.005
0.6,-0.037
0.4,-0.063
0.2,-0.084
0,-0.104
-0.2,-0.118
-0.4,-0.129
-0.6,-0.139
-0.8,-0.15
-1,-0.164
-0.8,-0.115
-0.6,-0.078
-0.4,-0.042
-0.2,-0.009
0,0.019
0.2,0.056
0.4,0.096
0.6,0.138
0.8,0.171
1,0.201
1.2,0.231
1.4,0.257
1.6,0.284
1.8,0.31
2,0.335
1.8,0.273
1.6,0.211
1.4,0.15
1.2,0.093
1,0.039
0.8,-0.004
0.6,-0.036
0.4,-0.064
0.2,-0.085
0,-0.109
-0.2,-0.122
-0.4,-0.133
-0.6,-0.144
-0.8,-0.154
-1,-0.167
-0.8,-0.119
-0.6,-0.08
-0.4,-0.044
-0.2,-0.007
0,0.022
0.2,0.059
0.4,0.098
0.6,0.14
0.8,0.172
1,0.202
1.2,0.232
1.4,0.258
1.6,0.284
1.8,0.31
2,0.336
1.8,0.274
1.6,0.212
1.4,0.151
1.2,0.093
1,0.04
0.8,-0.004
0.6,-0.035
0.4,-0.064
0.2,-0.085
0,-0.109
-0.2,-0.123
-0.4,-0.134
-0.6,-0.146
-0.8,-0.155
-1,-0.169
-0.8,-0.12
-0.6,-0.08
-0.4,-0.044
-0.2,-0.007
0,0.022
0.2,0.059
0.4,0.099
0.6,0.14
0.8,0.172
1,0.202
1.2,0.231
1.4,0.257
1.6,0.284
1.8,0.31
2,0.336
2.2,0.359
2.4,0.381
2.6,0.41
2.8,0.437
3,0.457
3.2,0.475
3.4,0.496
3.6,0.518
3.8,0.539
4,0.558
3.8,0.467
3.6,0.375
3.4,0.293
3.2,0.221
3,0.152
2.8,0.097
2.6,0.049
2.4,0.011
2.2,-0.022
2,-0.048
1.8,-0.067
1.6,-0.083
1.4,-0.098
1.2,-0.11
1,-0.122
0.8,-0.129
0.6,-0.137
0.4,-0.143
0.2,-0.149
0,-0.154
-0.2,-0.16
-0.4,-0.167
-0.6,-0.176
-0.8,-0.185
-1,-0.196
-1.2,-0.218
-1.4,-0.26
-1.6,-0.303
-1.8,-0.362
-2,-0.421
-1.8,-0.31
-1.6,-0.201
-1.4,-0.108
-1.2,-0.037
-1,0.013
-0.8,0.048
-0.6,0.076
-0.4,0.092
-0.2,0.105
0,0.122
0.2,0.135
0.4,0.144
0.6,0.154
0.8,0.164
1,0.169
1.2,0.178
1.4,0.186
1.6,0.202
1.8,0.222
2,0.243
2.2,0.267
2.4,0.291
2.6,0.315
2.8,0.339
3,0.371
3.2,0.404
3.4,0.446
3.6,0.488
