Disp(mm)  Force(kN)
0,0
0.2,0.189
0.4,0.365
0.6,0.514
0.8,0.63
1,0.726
1.2,0.812
1.4,0.892
1.6,0.966
1.8,1.034
2,1.097
1.8,0.901
1.6,0.705
1.4,0.51
1.2,0.316
1,0.132
0.8,-0.023
0.6,-0.092
0.4,-0.132
0.2,-0.15
0,-0.201
-0.2,-0.318
-0.4,-0.429
-0.6,-0.537
-0.8,-0.637
-1,-0.73
-0.8,-0.534
-0.6,-0.338
-0.4,-0.143
-0.2,0.019
0,0.07
0.2,0.117
0.4,0.164
0.6,0.232
0.8,0.34
1,0.476
1.2,0.61
1.4,0.744
1.6,0.878
1.8,1.001
2,1.097
1.8,0.901
1.6,0.705
1.4,0.51
1.2,0.316
1,0.133
0.8,-0.021
0.6,-0.091
0.4,-0.131
0.2,-0.148
0,-0.169
-0.2,-0.241
-0.4,-0.364
-0.6,-0.494
-0.8,-0.62
-1,-0.73
-0.8,-0.534
-0.6,-0.338
-0.4,-0.143
-0.2,0.018
0,0.069
0.2,0.117
0.4,0.164
0.6,0.232
0.8,0.33
1,0.465
1.2,0.599
1.4,0.733
1.6,0.867
1.8,0.992
2,1.097
1.8,0.901
1.6,0.705
1.4,0.51
1.2,0.316
1,0.132
0.8,-0.021
0.6,-0.092
0.4,-0.131
0.2,-0.148
0,-0.169
-0.2,-0.241
-0.4,-0.364
-0.6,-0.494
-0.8,-0.62
-1,-0.73
-0.8,-0.534
-0.6,-0.338
-0.4,-0.143
-0.2,0.018
0,0.069
0.2,0.117
0.4,0.164
0.6,0.232
0.8,0.33
1,0.465
1.2,0.599
1.4,0.733
1.6,0.867
1.8,0.992
2,1.097
2.2,1.154
2.4,1.207
2.6,1.251
2.8,1.288
3,1.322
3.2,1.354
3.4,1.383
3.6,1.411
3.8,1.438
4,1.463
3.8,1.268
3.6,1.073
3.4,0.877
3.2,0.683
3,0.497
2.8,0.33
2.6,0.173
2.4,0.033
2.2,-0.063
2,-0.109
1.8,-0.122
1.6,-0.129
1.4,-0.139
1.2,-0.147
1,-0.159
0.8,-0.173
0.6,-0.197
0.4,-0.239
0.2,-0.297
0,-0.371
-0.2,-0.479
-0.4,-0.595
-0.6,-0.7
-0.8,-0.791
-1,-0.867
-1.2,-0.936
-1.4,-0.993
-1.6,-1.047
-1.8,-1.096
-2,-1.142
-1.8,-0.946
-1.6,-0.75
-1.4,-0.556
-1.2,-0.364
-1,-0.179
-0.8,-0.025
-0.6,0.047
-0.4,0.096
-0.2,0.125
0,0.137
0.2,0.146
0.4,0.153
0.6,0.165
0.8,0.177
1,0.194
1.2,0.21
1.4,0.228
1.6,0.271
1.8,0.313
2,0.383
2.2,0.483
2.4,0.595
2.6,0.724
2.8,0.849
3,0.97
3.2,1.084
3.4,1.188
3.6,1.284
3.8,1.378
4,1.451
3.8,1.256
3.6,1.06
3.4,0.865
3.2,0.671
3,0.486
2.8,0.319
2.6,0.165
2.4,0.032
2.2,-0.064
2,-0.109
1.8,-0.121
1.6,-0.128
1.4,-0.135
1.2,-0.143
1,-0.151
0.8,-0.161
0.6,-0.169
0.4,-0.184
0.2,-0.21
0,-0.252
-0.2,-0.294
-0.4,-0.353
-0.6,-0.425
-0.8,-0.533
-1,-0.657
-1.2,-0.774
-1.4,-0.882
-1.6,-0.981
-1.8,-1.078
-2,-1.145
-1.8,-0.949
-1.6,-0.754
-1.4,-0.559
-1.2,-0.367
-1,-0.183
-0.8,-0.027
-0.6,0.046
-0.4,0.095
-0.2,0.124
0,0.136
0.2,0.146
0.4,0.153
0.6,0.163
0.8,0.175
1,0.192
1.2,0.208
1.4,0.226
1.6,0.268
1.8,0.311
2,0.38
2.2,0.481
2.4,0.593
2.6,0.721
2.8,0.847
3,0.967
3.2,1.082
3.4,1.185
3.6,1.282
3.8,1.376
4,1.449
3.8,1.253
3.6,1.058
3.4,0.863
3.2,0.669
3,0.484
2.8,0.318
2.6,0.163
2.4,0.031
2.2,-0.065
2,-0.109
1.8,-0.121
1.6,-0.129
1.4,-0.135
1.2,-0.143
1,-0.151
0.8,-0.161
0.6,-0.169
0.4,-0.185
0.2,-0.21
0,-0.252
-0.2,-0.294
-0.4,-0.353
-0.6,-0.425
-0.8,-0.533
-1,-0.657
-1.2,-0.775
-1.4,-0.882
-1.6,-0.982
-1.8,-1.079
-2,-1.147
-1.8,-0.951
-1.6,-0.755
-1.4,-0.561
-1.2,-0.368
-1,-0.184
-0.8,-0.028
-0.6,0.045
-0.4,0.094
-0.2,0.124
0,0.136
0.2,0.145
0.4,0.153
0.6,0.163
0.8,0.175
1,0.191
1.2,0.207
1.4,0.226
1.6,0.268
1.8,0.311
2,0.38
2.2,0.481
2.4,0.593
2.6,0.721
2.8,0.847
3,0.967
3.2,1.082
3.4,1.185
3.6,1.281
3.8,1.375
4,1.448
4.2,1.483
4.4,1.507
4.6,1.529
4.8,1.551
5,1.571
5.2,1.591
5.4,1.61
5.6,1.629
5.8,1.646
6,1.664
6.2,1.681
6.4,1.697
6.6,1.714
6.8,1.73
7,1.745
7.2,1.76
7.4,1.775
7.6,1.79
7.8,1.805
8,1.819
7.8,1.623
7.6,1.428
7.4,1.233
7.2,1.039
7,0.853
6.8,0.684
6.6,0.529
6.4,0.384
6.2,0.244
6,0.123
5.8,0.033
5.6,-0.025
5.4,-0.06
5.2,-0.075
5,-0.082
4.8,-0.089
4.6,-0.096
4.4,-0.105
4.2,-0.113
4,-0.117
3.8,-0.122
3.6,-0.138
3.4,-0.155
3.2,-0.171
3,-0.192
2.8,-0.212
2.6,-0.235
2.4,-0.257
2.2,-0.278
2,-0.296
1.8,-0.316
1.6,-0.332
1.4,-0.345
1.2,-0.358
1,-0.371
0.8,-0.382
0.6,-0.401
0.4,-0.429
0.2,-0.457
0,-0.483
-0.2,-0.515
-0.4,-0.549
-0.6,-0.62
-0.8,-0.687
-1,-0.774
-1.2,-0.867
-1.4,-0.959
-1.6,-1.052
-1.8,-1.131
-2,-1.179
-2.2,-1.217
-2.4,-1.253
-2.6,-1.287
-2.8,-1.319
-3,-1.35
-3.2,-1.378
-3.4,-1.405
-3.6,-1.431
-3.8,-1.456
-4,-1.479
-3.8,-1.285
-3.6,-1.091
-3.4,-0.896
-3.2,-0.703
-3,-0.52
-2.8,-0.354
-2.6,-0.199
-2.4,-0.052
-2.2,0.048
-2,0.097
-1.8,0.117
-1.6,0.123
-1.4,0.129
-1.2,0.135
-1,0.139
-0.8,0.147
-0.6,0.153
-0.4,0.159
-0.2,0.163
0,0.168
0.2,0.175
0.4,0.192
0.6,0.209
0.8,0.226
1,0.246
1.2,0.267
1.4,0.29
1.6,0.313
1.8,0.334
2,0.354
2.2,0.374
2.4,0.4
2.6,0.424
2.8,0.452
3,0.48
3.2,0.502
3.4,0.524
3.6,0.546
3.8,0.566
4,0.594
4.2,0.62
4.4,0.647
4.6,0.673
4.8,0.699
5,0.724
5.2,0.758
5.4,0.789
5.6,0.841
5.8,0.9
6,0.958
6.2,1.017
6.4,1.094
6.6,1.172
6.8,1.25
7,1.325
7.2,1.4
7.4,1.474
7.6,1.547
7.8,1.619
8,1.69
7.8,1.497
7.6,1.303
7.4,1.11
7.2,0.919
7,0.736
6.8,0.568
6.6,0.411
6.4,0.272
6.2,0.163
6,0.079
5.8,0.019
5.6,-0.024
5.4,-0.062
5.2,-0.08
5,-0.087
4.8,-0.095
4.6,-0.102
4.4,-0.109
4.2,-0.114
4,-0.119
3.8,-0.124
3.6,-0.128
3.4,-0.135
3.2,-0.147
3,-0.162
2.8,-0.176
2.6,-0.189
2.4,-0.209
2.2,-0.229
2,-0.248
1.8,-0.268
1.6,-0.288
1.4,-0.307
1.2,-0.324
1,-0.338
0.8,-0.351
0.6,-0.364
0.4,-0.377
0.2,-0.388
0,-0.399
-0.2,-0.41
-0.4,-0.43
-0.6,-0.449
-0.8,-0.476
-1,-0.503
-1.2,-0.529
-1.4,-0.555
-1.6,-0.578
-1.8,-0.61
-2,-0.64
-2.2,-0.706
-2.4,-0.772
-2.6,-0.862
-2.8,-0.951
-3,-1.041
-3.2,-1.13
-3.4,-1.218
-3.6,-1.308
-3.8,-1.395
-4,-1.475
-3.8,-1.282
-3.6,-1.089
-3.4,-0.895
-3.2,-0.705
-3,-0.521
-2.8,-0.353
-2.6,-0.198
-2.4,-0.052
-2.2,0.044
-2,0.095
-1.8,0.115
-1.6,0.119
-1.4,0.123
-1.2,0.129
-1,0.133
-0.8,0.136
-0.6,0.141
-0.4,0.149
-0.2,0.154
0,0.159
0.2,0.164
0.4,0.173
0.6,0.19
0.8,0.207
1,0.224
1.2,0.244
1.4,0.265
1.6,0.288
1.8,0.312
2,0.334
2.2,0.357
2.4,0.378
2.6,0.405
2.8,0.432
3,0.454
3.2,0.48
3.4,0.502
3.6,0.523
