Disp(mm)  Force(kN)
0,0
0.2,0.189
0.4,0.365
0.6,0.514
0.8,0.63
1,0.726
1.2,0.812
1.4,0.892
1.6,0.966
1.8,1.034
2,1.097
2.2,1.154
2.4,1.207
2.6,1.251
2.8,1.288
3,1.322
3.2,1.354
3.4,1.383
3.6,1.411
3.8,1.438
4,1.463
4.2,1.487
4.4,1.51
4.6,1.532
4.8,1.553
5,1.573
5.2,1.593
5.4,1.612
5.6,1.63
5.8,1.648
6,1.665
6.2,1.682
6.4,1.699
6.6,1.715
6.8,1.731
7,1.746
7.2,1.762
7.4,1.776
7.6,1.791
7.8,1.806
8,1.82
8.2,1.834
8.4,1.848
8.6,1.861
8.8,1.875
9,1.888
9.2,1.901
9.4,1.914
9.6,1.927
9.8,1.939
10,1.952
10.2,1.964
10.4,1.976
10.6,1.988
10.8,1.999
11,2.01
11.2,2.021
11.4,2.032
11.6,2.042
11.8,2.052
12,2.062
12.2,2.072
12.4,2.081
12.6,2.089
12.8,2.096
13,2.103
13.2,2.109
13.4,2.115
13.6,2.121
13.8,2.126
14,2.131
14.2,2.135
14.4,2.139
14.6,2.143
14.8,2.146
15,2.149
15.2,2.152
15.4,2.155
15.6,2.157
15.8,2.157
16,2.157
15.8,1.962
15.6,1.767
15.4,1.572
15.2,1.378
15,1.191
14.8,1.021
14.6,0.864
14.4,0.723
14.2,0.598
14,0.478
13.8,0.383
13.6,0.303
13.4,0.223
13.2,0.151
13,0.108
12.8,0.073
12.6,0.046
12.4,0.025
12.2,0.009
12,-0.003
11.8,-0.013
11.6,-0.021
11.4,-0.027
11.2,-0.032
11,-0.036
10.8,-0.039
10.6,-0.041
10.4,-0.044
10.2,-0.047
10,-0.05
9.8,-0.057
9.6,-0.065
9.4,-0.075
9.2,-0.086
9,-0.096
8.8,-0.104
8.6,-0.113
8.4,-0.12
8.2,-0.127
8,-0.135
7.8,-0.143
7.6,-0.151
7.4,-0.158
7.2,-0.165
7,-0.171
6.8,-0.177
6.6,-0.183
6.4,-0.19
6.2,-0.197
6,-0.203
5.8,-0.21
5.6,-0.217
5.4,-0.224
5.2,-0.232
5,-0.24
4.8,-0.248
4.6,-0.256
4.4,-0.264
4.2,-0.272
4,-0.28
3.8,-0.29
3.6,-0.301
3.4,-0.311
3.2,-0.321
3,-0.33
2.8,-0.339
2.6,-0.348
2.4,-0.357
2.2,-0.365
2,-0.373
1.8,-0.384
1.6,-0.406
1.4,-0.426
1.2,-0.446
1,-0.466
0.8,-0.484
0.6,-0.504
0.4,-0.554
0.2,-0.605
0,-0.665
-0.2,-0.742
-0.4,-0.812
-0.6,-0.876
-0.8,-0.936
-1,-0.992
-1.2,-1.043
-1.4,-1.09
-1.6,-1.135
-1.8,-1.176
-2,-1.215
-2.2,-1.251
-2.4,-1.284
-2.6,-1.316
-2.8,-1.346
-3,-1.375
-3.2,-1.401
-3.4,-1.426
-3.6,-1.45
-3.8,-1.473
-4,-1.495
-4.2,-1.516
-4.4,-1.536
-4.6,-1.556
-4.8,-1.575
-5,-1.594
-5.2,-1.612
-5.4,-1.629
-5.6,-1.646
-5.8,-1.663
-6,-1.679
-6.2,-1.695
-6.4,-1.711
-6.6,-1.726
-6.8,-1.741
-7,-1.755
-7.2,-1.77
-7.4,-1.784
-7.6,-1.798
-7.8,-1.812
-8,-1.825
-8.2,-1.839
-8.4,-1.852
-8.6,-1.865
-8.8,-1.878
-9,-1.891
-9.2,-1.903
-9.4,-1.916
-9.6,-1.928
-9.8,-1.941
-10,-1.953
-10.2,-1.965
-10.4,-1.977
-10.6,-1.989
-10.8,-2
-11,-2.01
-11.2,-2.021
-11.4,-2.032
-11.6,-2.042
-11.8,-2.052
-12,-2.062
-12.2,-2.072
-12.4,-2.08
-12.6,-2.088
-12.8,-2.096
-13,-2.103
-13.2,-2.109
-13.4,-2.115
-13.6,-2.12
-13.8,-2.126
-14,-2.13
-14.2,-2.135
-14.4,-2.139
-14.6,-2.143
-14.8,-2.146
-15,-2.149
-15.2,-2.152
-15.4,-2.154
-15.6,-2.156
-15.8,-2.156
-16,-2.156
-15.8,-1.961
-15.6,-1.766
-15.4,-1.571
-15.2,-1.378
-15,-1.191
-14.8,-1.021
-14.6,-0.864
-14.4,-0.722
-14.2,-0.597
-14,-0.477
-13.8,-0.382
-13.6,-0.302
-13.4,-0.222
-13.2,-0.15
-13,-0.108
-12.8,-0.073
-12.6,-0.046
-12.4,-0.024
-12.2,-0.009
-12,0.003
-11.8,0.014
-11.6,0.022
-11.4,0.028
-11.2,0.033
-11,0.037
-10.8,0.039
-10.6,0.041
-10.4,0.043
-10.2,0.045
-10,0.047
-9.8,0.05
-9.6,0.053
-9.4,0.055
-9.2,0.057
-9,0.06
-8.8,0.062
-8.6,0.064
-8.4,0.067
-8.2,0.07
-8,0.074
-7.8,0.078
-7.6,0.083
-7.4,0.089
-7.2,0.1
-7,0.111
-6.8,0.122
-6.6,0.131
-6.4,0.141
-6.2,0.147
-6,0.153
-5.8,0.159
-5.6,0.165
-5.4,0.171
-5.2,0.176
-5,0.181
-4.8,0.187
-4.6,0.192
-4.4,0.197
-4.2,0.202
-4,0.208
-3.8,0.213
-3.6,0.218
-3.4,0.223
-3.2,0.228
-3,0.233
-2.8,0.239
-2.6,0.245
-2.4,0.251
-2.2,0.257
-2,0.264
-1.8,0.271
-1.6,0.278
-1.4,0.285
-1.2,0.292
-1,0.299
-0.8,0.305
-0.6,0.312
-0.4,0.319
-0.2,0.326
0,0.333
0.2,0.339
0.4,0.346
0.6,0.352
0.8,0.359
